Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Xc-42,Fin w/bulb & spade rudder,Fractional Sloop,42.03 ft / 12.81 m,37.63 ft / 11.47 m,966.60 ft² / 89.80 m²,13.45 ft / 4.10 m,"25,133.00 lb / 11,400 kg","11,376.00 lb / 5,160 kg",6.89 ft / 2.10 m,FG,Cast iron fin/lead bulb,2009,2018,99,X-yachts,Niels Jeppesen,NA,NA,NA
X-65,Fin w/bulb & spade rudder,Fractional Sloop,65.65 ft / 20.01 m,58.01 ft / 17.68 m,"2,435.87 ft² / 226.30 m²",17.59 ft / 5.36 m,"60,627.00 lb / 27,500 kg","22,046.00 lb / 10,000 kg",11.15 ft / 3.40 m,FG,NA,2007,2014,6,X-yachts,Niels Jeppesen,NA,NA,NA
X4⁰,Fin w/bulb & spade rudder,Fractional Sloop,39.67 ft / 12.09 m,34.12 ft / 10.40 m,818.06 ft² / 76.00 m²,12.50 ft / 3.81 m,"17,857.00 lb / 8,100 kg","6,724.00 lb / 3,050 kg",6.89 ft / 2.10 m,Epoxy/foam sand. w/E-glass,Cast iron fin/lead bulb,2019,NA,NA,X-Yachts (DN),Niels Jeppesen,NA,NA,NA
X4⁶,Fin w/bulb & spade rudder,Fractional Sloop,46.19 ft / 14.08 m,40.45 ft / 12.33 m,"1,135.59 ft² / 105.50 m²",14.01 ft / 4.27 m,"24,030.00 lb / 10,900 kg","9,921.00 lb / 4,500 kg",7.55 ft / 2.30 m,Epoxy/foam sand. w/E-glass,Cast iron fin/lead bulb,2018,NA,NA,X-Yachts (DN),Niels Jeppesen,NA,NA,NA
X4⁹,Fin w/bulb & spade rudder,Fractional Sloop,49.48 ft / 15.08 m,43.47 ft / 13.25 m,"1,294.90 ft² / 120.30 m²",14.73 ft / 4.49 m,"28,440.00 lb / 12,900 kg","12,015.00 lb / 5,450 kg",7.87 ft / 2.40 m,Epoxy/foam sand. w/E-glass,Cast iron fin/lead bulb,2018,NA,NA,X-Yachts (DN),Niels Jeppesen,NA,NA,NA
Xc 50,Fin w/bulb & spade rudder,Fractional Sloop,51.21 ft / 15.61 m,44.32 ft / 13.51 m,"1,360.56 ft² / 126.40 m²",15.09 ft / 4.60 m,"35,461.00 lb / 16,085 kg","15,917.00 lb / 7,220 kg",7.71 ft / 2.35 m,FG,Cast iron fin/lead bulb,2010,NA,NA,X-Yachts (DN),Niels Jeppesen,NA,NA,NA
Xp 55,Fin w/bulb & spade rudder,Fractional Sloop,56.53 ft / 17.23 m,48.79 ft / 14.87 m,"1,877.23 ft² / 174.40 m²",15.65 ft / 4.77 m,"37,038.00 lb / 16,800 kg","14,330.00 lb / 6,500 kg",9.35 ft / 2.85 m,Epoxy/foam sand. w/carbon,Cast iron fin/lead bulb,2013,NA,NA,X-yachts (DN),Niels Jeppesen,NA,NA,NA
Crown 25 (Schumacher),Daggerboard,Fractional Sloop,25.00 ft / 7.62 m,NA,210.00 ft² / 19.51 m²,7.17 ft / 2.19 m,"2,000.00 lb / 907 kg",840.00 lb / 381 kg,4.50 ft / 1.37 m,FRP,Steel fin with lead bulb,1980,NA,NA,Sea Crown Marine (USA),Carl Schumacher,2.00 ft / 0.61 m,NA,NA
Dufour 56 - 2,Fin w/bulb & spade rudder,Fractional Sloop,56.27 ft / 17.15 m,49.77 ft / 15.17 m,"1,524.92 ft² / 141.67 m²",16.57 ft / 5.05 m,"38,856.00 lb / 17,625 kg","10,803.00 lb / 4,900 kg",8.20 ft / 2.50 m,FG,Cast iron,2016,NA,NA,Dufour Yachts,Umberto Felci,NA,NA,NA
Wauquiez Pilot Saloon 48-2,Fin w/bulb & spade rudder,Fractional Sloop,48.46 ft / 14.77 m,41.83 ft / 12.75 m,"1,097.92 ft² / 102.00 m²",15.12 ft / 4.61 m,"30,865.00 lb / 14,000 kg","8,598.00 lb / 3,900 kg",6.89 ft / 2.10 m,FG (vacuum infusion resin) w/ balsa sandwich,Cast Iron,2015,NA,NA,Wauquiez Boats,Berret-Racoupeau,NA,NA,NA
Wauquiez Pilot Saloon 42,Fin w/bulb & dual rudders,Fractional Sloop,42.62 ft / 12.99 m,38.68 ft / 11.79 m,972.95 ft² / 90.39 m²,14.24 ft / 4.34 m,"26,550.00 lb / 12,043 kg","9,259.00 lb / 4,200 kg",5.41 ft / 1.65 m,FG (vacuum infusion resin) w/ balsa sandwich,Cast iron,2018,NA,NA,Wauquiez Boats,Berret-Racoupeau,NA,NA,NA
