Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Naples Sabot,Pram (Leeboard),Cat (unstayed),7.92 ft / 2.41 m,7.16 ft / 2.18 m,38.00 ft² / 3.53 m²,4.00 ft / 1.22 m,95.00 lb / 43 kg,NA,1.67 ft / 0.51 m,plyood/FG,NA,1943,NA,9700,Dash Manufacturing Co.,McCullough/Violette,0.43 ft / 0.13 m,NA,NA
El Toro,Pram (Daggerboard),Cat (unstayed),7.92 ft / 2.41 m,NA,49.00 ft² / 4.55 m²,3.83 ft / 1.17 m,80.00 lb / 36 kg,NA,1.50 ft / 0.46 m,Wood/FG,NA,1939,NA,11000,NA,Charles McGregor,0.50 ft / 0.15 m,NA,NA
Beverly Dinghy,Centerboard Dinghy,Cat (Marconi),11.50 ft / 3.51 m,NA,66.00 ft² / 6.13 m²,4.50 ft / 1.37 m,207.00 lb / 94 kg,NA,1.30 ft / 0.40 m,Wood/FG,NA,1953,NA,500,NA,Sidney Herreshoff,0.25 ft / 0.08 m,NA,NA
Mirror Dinghy (Int),Dbrd. Dinghy,Gunter,10.83 ft / 3.30 m,NA,69.00 ft² / 6.41 m²,4.58 ft / 1.40 m,135.00 lb / 61 kg,NA,2.50 ft / 0.76 m,Wood/FG,NA,1965,NA,7000,Ameture and Professonal,Bucknell & Holt,0.50 ft / 0.15 m,NA,NA
Aqua Cat 12,Catamaran Twin Dbrd.,Lateen,12.17 ft / 3.71 m,11.83 ft / 3.61 m,90.00 ft² / 8.36 m²,6.50 ft / 1.98 m,160.00 lb / 73 kg,NA,2.00 ft / 0.61 m,FG,NA,1961,NA,17000,Amercan Fiberglass Corp. (USA),Arthur Javes,0.42 ft / 0.13 m,NA,NA
Javelin 14 (Fox),Centerboard Dinghy,Fractional Sloop,14.00 ft / 4.27 m,13.17 ft / 4.01 m,125.00 ft² / 11.61 m²,5.67 ft / 1.73 m,475.00 lb / 215 kg,49.00 lb / 22 kg,3.83 ft / 1.17 m,FG,Galv. steel,1960,NA,5100,O'Day Corp. (USA),Uffa Fox,0.50 ft / 0.15 m,NA,NA
Mobjack,Centerboard Dinghy,Fractional Sloop,17.00 ft / 5.18 m,16.75 ft / 5.11 m,180.00 ft² / 16.72 m²,6.50 ft / 1.98 m,450.00 lb / 204 kg,NA,4.00 ft / 1.22 m,FG,NA,1956,2003,537,Mobjack Manufacturing (USA),Roger Moorman,0.75 ft / 0.23 m,NA,NA
Falcon 16 (Mcvay),Centerboard Dinghy,Fractional Sloop,15.75 ft / 4.80 m,14.25 ft / 4.34 m,137.00 ft² / 12.73 m²,5.20 ft / 1.58 m,"1,650.00 lb / 748 kg",850.00 lb / 386 kg,2.58 ft / 0.79 m,FG (solid),NA,1954,NA,940,McVay Fiberglass Yachts/Paceship (CAN),G. William McVay,NA,NA,NA
Mouette 19,Centerboard Dinghy,Fractional Sloop,19.50 ft / 5.94 m,17.00 ft / 5.18 m,154.00 ft² / 14.31 m²,6.92 ft / 2.11 m,640.00 lb / 290 kg,NA,4.00 ft / 1.22 m,FG,NA,1964,1975,NA,Pacehip Yachts (CAN),G. William McVay,0.50 ft / 0.15 m,NA,NA
Cruisette 20 (Paceship),Fin Keel,Fractional Sloop,19.50 ft / 5.94 m,18.17 ft / 5.54 m,185.00 ft² / 17.19 m²,6.83 ft / 2.08 m,"1,100.00 lb / 499 kg",325.00 lb / 147 kg,3.42 ft / 1.04 m,FG,Iron,1963,1970,155,Paceship Yachts (CAN),G. William McVay,NA,NA,NA
Imx-38,Fin w/bulb & spade rudder,Masthead Sloop,37.42 ft / 11.41 m,31.25 ft / 9.53 m,719.00 ft² / 66.80 m²,12.08 ft / 3.68 m,"11,800.00 lb / 5,352 kg","6,173.00 lb / 2,800 kg",6.92 ft / 2.11 m,FG,Lead,1992,2000,92,X Yachts,Niels Jeppesen,NA,NA,NA
Foxhound 24,Long Keel,Masthead Sloop,23.83 ft / 7.26 m,18.17 ft / 5.54 m,NA,8.25 ft / 2.51 m,"2,800.00 lb / 1,270 kg",NA,4.50 ft / 1.37 m,FG,NA,1975,NA,NA,Copland Boats (UK),Uffa Fox/Tony Dixon,NA,NA,NA
Seal 22,Lifting Keel,Fractional Sloop,21.75 ft / 6.63 m,18.00 ft / 5.49 m,185.00 ft² / 17.19 m²,7.75 ft / 2.36 m,"2,400.00 lb / 1,089 kg",800.00 lb / 363 kg,3.83 ft / 1.17 m,FG,Iron,1968,NA,NA,John Baker Ltd. (UK),Angus Primrose,2.00 ft / 0.61 m,NA,NA
Seafarer 36c,Long Keel,Masthead Ketch,36.33 ft / 11.07 m,26.25 ft / 8.00 m,506.00 ft² / 47.01 m²,10.50 ft / 3.20 m,"16,350.00 lb / 7,416 kg","5,500.00 lb / 2,495 kg",4.50 ft / 1.37 m,FG,NA,1968,NA,NA,Seafarer Yachts,Philip Rhodes,NA,NA,NA
Ballerina Ii,Long keel w/trans. hung rudder,Fractional Sloop,21.50 ft / 6.55 m,16.75 ft / 5.11 m,197.00 ft² / 18.30 m²,7.42 ft / 2.26 m,"2,240.00 lb / 1,016 kg",800.00 lb / 363 kg,2.25 ft / 0.69 m,FG,NA,1962,NA,NA,Penryn Boatbuilding Co. (UK),Robert Tucker,NA,NA,NA
Splinter 21,Fin Keel,Masthead Sloop,21.18 ft / 6.46 m,17.00 ft / 5.18 m,163.00 ft² / 15.14 m²,6.83 ft / 2.08 m,"2,780.00 lb / 1,261 kg",900.00 lb / 408 kg,3.75 ft / 1.14 m,FG,NA,1963,NA,NA,H. H. Marine  (UK)/Peulen Shipyard (NED),E. G. Van de Stadt,NA,NA,NA
Trident 24,Triple Keel,Fractional Sloop,24.00 ft / 7.32 m,19.00 ft / 5.79 m,290.00 ft² / 26.94 m²,7.42 ft / 2.26 m,"4,040.00 lb / 1,833 kg","1,500.00 lb / 680 kg",2.50 ft / 0.76 m,FG,NA,1960,1974,250,Marine Construction Ltd. (UK),Alan F. Hill,NA,NA,NA
Crescent,Fin Keel,Fractional Sloop,24.00 ft / 7.32 m,18.50 ft / 5.64 m,146.00 ft² / 13.56 m²,6.50 ft / 1.98 m,"2,650.00 lb / 1,202 kg","1,200.00 lb / 544 kg",4.08 ft / 1.24 m,Wood/FG,NA,1953,1974,27,M. E. Hill / Customflex (USA),Richard C. Hill,NA,NA,NA
Turnabout (National 10),Centerboard Dinghy,Cat (Marconi),9.67 ft / 2.95 m,NA,NA,5.25 ft / 1.60 m,255.00 lb / 116 kg,NA,NA,FG,NA,1953,NA,NA,Parker River Marine / J.R.Duplin Marine,Harold R.Turner,NA,NA,NA
Elizabethan 33,Long Keel,Masthead Sloop,33.00 ft / 10.06 m,25.00 ft / 7.62 m,NA,9.33 ft / 2.84 m,"12,320.00 lb / 5,588 kg","5,219.00 lb / 2,367 kg",4.58 ft / 1.40 m,FG,Iron,1973,NA,NA,Peter Webster Ltd. (UK),David Thomas,NA,NA,NA
Puma 26,Fin with rudder on skeg,Masthead Sloop,26.25 ft / 8.00 m,21.08 ft / 6.43 m,320.00 ft² / 29.73 m²,9.17 ft / 2.80 m,"6,063.00 lb / 2,750 kg","2,469.00 lb / 1,120 kg",4.75 ft / 1.45 m,FG,NA,1972,NA,NA,"Naoglass, S.A. (ESP)",Holman & Pye,NA,NA,NA
Cottontail,Centerboard Dinghy,Fractional Sloop,15.83 ft / 4.82 m,14.00 ft / 4.27 m,120.00 ft² / 11.15 m²,5.08 ft / 1.55 m,286.00 lb / 130 kg,NA,3.00 ft / 0.91 m,FG,NA,1959,NA,NA,Holliday Yachts (USA),Robert F. Matteson,0.92 ft / 0.28 m,NA,NA
Tiger Cat,Catamaran Twin Cbrd.,Fractional Sloop,17.00 ft / 5.18 m,15.83 ft / 4.82 m,285.00 ft² / 26.48 m²,7.95 ft / 2.42 m,585.00 lb / 265 kg,NA,6.17 ft / 1.88 m,FG,NA,1960,1963,160,Pearson Yachts (USA),William B. Harris,3.08 ft / 0.94 m,NA,NA
Pacific Catamaran,Catamaran Twin Cbrd.,Frac. Sloop (Rotating Spar),18.75 ft / 5.72 m,17.92 ft / 5.46 m,270.00 ft² / 25.08 m²,7.92 ft / 2.41 m,500.00 lb / 227 kg,NA,2.17 ft / 0.66 m,FG,NA,1960,NA,NA,Newport  Boats/Mobjack Manufacturing (USA),Carter Pyle,0.58 ft / 0.18 m,NA,NA
Pearson 23c,Fin w/transom hung rudder,Cat (unstayed),23.00 ft / 7.01 m,20.00 ft / 6.10 m,210.00 ft² / 19.51 m²,8.00 ft / 2.44 m,"3,000.00 lb / 1,361 kg","1,200.00 lb / 544 kg",4.00 ft / 1.22 m,FG,Lead,1983,1985,NA,Pearson Yachts (USA),William Shaw,NA,NA,NA
Hobie 16,Catamaran (no boards/asym.),Frac. Sloop (Rotating Spar),16.58 ft / 5.05 m,NA,218.00 ft² / 20.25 m²,7.92 ft / 2.41 m,320.00 lb / 145 kg,NA,0.83 ft / 0.25 m,FG,NA,1969,NA,135000,Coast Catamaran Corp. /Coleman Industries,Hobie Alter,NA,NA,NA
Hobie 18,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),18.00 ft / 5.49 m,NA,240.00 ft² / 22.30 m²,8.00 ft / 2.44 m,400.00 lb / 181 kg,NA,2.50 ft / 0.76 m,FG,NA,1976,NA,NA,Hobie Cat,Hobie Alter & Phil Edwards,0.58 ft / 0.18 m,NA,NA
Hobie 14,Catamaran (no boards/asym.),Cat (rotating spar),14.00 ft / 4.27 m,NA,118.00 ft² / 10.96 m²,7.67 ft / 2.34 m,240.00 lb / 109 kg,NA,0.67 ft / 0.20 m,FG,NA,1967,NA,NA,Hobie Cat (USA),Hobie Alter,NA,NA,NA
Hobie Miracle 20,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),19.50 ft / 5.94 m,NA,250.00 ft² / 23.23 m²,8.50 ft / 2.59 m,400.00 lb / 181 kg,NA,2.75 ft / 0.84 m,FG,NA,1991,2007,NA,Hobie Cat,Jack Groeneveld,0.43 ft / 0.13 m,NA,NA
Hobie 17,Catamaran Twin Cbrd.,Cat (rotating spar),17.00 ft / 5.18 m,NA,168.00 ft² / 15.61 m²,7.92 ft / 2.41 m,315.00 lb / 143 kg,NA,1.50 ft / 0.46 m,FG,NA,1985,NA,NA,Hobie Cat,John Wake,0.42 ft / 0.13 m,NA,NA
Hobie 21 Se,Catamaran Twin Cbrd.,Frac. Sloop (Rotating Spar),21.25 ft / 6.48 m,NA,300.00 ft² / 27.87 m²,9.54 ft / 2.91 m,565.00 lb / 256 kg,NA,2.16 ft / 0.66 m,FG,NA,1987,1990,900,Hobie,John Wake,0.50 ft / 0.15 m,NA,NA
Hobie Tiger 18,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),18.08 ft / 5.51 m,NA,220.00 ft² / 20.44 m²,8.53 ft / 2.60 m,397.00 lb / 180 kg,NA,2.33 ft / 0.71 m,FG,NA,1995,NA,NA,Hobie Europe,NA,0.25 ft / 0.08 m,NA,NA
Hobie Fox,Catamaran Twin Dbrd.,Fractional Sloop,20.00 ft / 6.10 m,NA,146.00 ft² / 13.56 m²,8.50 ft / 2.59 m,419.00 lb / 190 kg,NA,NA,FG,NA,2000,NA,NA,Hobie Europe,Nils Bunkenburg,NA,NA,NA
Prindle 16,Catamaran Twin Dbrd.,Frac. Sloop (Rotating Spar),16.00 ft / 4.88 m,15.00 ft / 4.57 m,189.00 ft² / 17.56 m²,7.92 ft / 2.41 m,300.00 lb / 136 kg,NA,1.83 ft / 0.56 m,FG foam sandwich,NA,1971,NA,9000,Surfglas/Prindle/Performance Catamarans (USA),Geoff Prindle,0.75 ft / 0.23 m,NA,NA
Dart 18,Catamaran (no boards/asym.),Frac. Sloop (Rotating Spar),18.00 ft / 5.49 m,17.00 ft / 5.18 m,175.00 ft² / 16.26 m²,7.50 ft / 2.29 m,285.00 lb / 129 kg,NA,0.33 ft / 0.10 m,FG,NA,1975,NA,4200,Panthercraft Ltd. (UK),Rodney March,NA,NA,NA
Byte,Dbrd. Dinghy,Cat (unstayed),12.00 ft / 3.66 m,10.50 ft / 3.20 m,58.00 ft² / 5.39 m²,4.25 ft / 1.30 m,99.00 lb / 45 kg,NA,NA,FG,NA,1973,NA,2500,Byte Boats Inc. / Performance Sailcraft,Ian Bruce,NA,NA,NA
Europe (International),Dbrd. Dinghy,Cat (Marconi),11.00 ft / 3.35 m,11.00 ft / 3.35 m,76.00 ft² / 7.06 m²,4.42 ft / 1.35 m,99.00 lb / 45 kg,NA,NA,FG,NA,1963,NA,NA,NA,Pierre Marique/Alois Roland,NA,NA,NA
Iroquois 30 Mkii,Catamaran Twin Cbrd.,Fractional Sloop,30.00 ft / 9.14 m,27.00 ft / 8.23 m,345.00 ft² / 32.05 m²,13.50 ft / 4.11 m,"6,560.00 lb / 2,976 kg",NA,5.00 ft / 1.52 m,FG,NA,1968,NA,230,Sail Craft Ltd. (UK),J. R. Macalpine-Downie,1.25 ft / 0.38 m,NA,NA
Cherokee 35,Catamaran Twin Keel,Masthead Sloop,35.00 ft / 10.67 m,31.00 ft / 9.45 m,615.00 ft² / 57.14 m²,16.50 ft / 5.03 m,"11,100.00 lb / 5,035 kg",NA,3.50 ft / 1.07 m,FG,NA,1973,NA,NA,Sail Craft Ltd. (UK),Rod Macalpine-Downie,NA,NA,NA
Apache 41,Catamaran Twin Cbrd.,Masthead Sloop,40.83 ft / 12.44 m,36.00 ft / 10.97 m,710.00 ft² / 65.96 m²,19.50 ft / 5.94 m,"16,000.00 lb / 7,257 kg",NA,6.75 ft / 2.06 m,FG,NA,1970,NA,NA,Sail Craft Ltd. (UK),J. R. Macalpine-Downie,3.00 ft / 0.91 m,NA,NA
She 31,Fin with rudder on skeg,Masthead Sloop,30.33 ft / 9.24 m,22.00 ft / 6.71 m,410.00 ft² / 38.09 m²,8.83 ft / 2.69 m,"7,800.00 lb / 3,538 kg","3,400.00 lb / 1,542 kg",5.42 ft / 1.65 m,FG,Iron,1969,NA,NA,South Hants Engineering (UK),Sparkman & Stephens,NA,NA,NA
Javelin 30 (Parker),Fin with rudder on skeg,Masthead Sloop,30.50 ft / 9.30 m,22.00 ft / 6.71 m,277.00 ft² / 25.73 m²,9.00 ft / 2.74 m,"6,720.00 lb / 3,048 kg","3,220.00 lb / 1,461 kg",5.00 ft / 1.52 m,FG,Iron,1971,NA,NA,Marine Construction Ltd.(UK),Fred R. Parker,NA,NA,NA
Leisure 27,Fin with rudder on skeg,Masthead Sloop,27.00 ft / 8.23 m,22.00 ft / 6.71 m,400.00 ft² / 37.16 m²,9.21 ft / 2.81 m,"6,750.00 lb / 3,062 kg","3,360.00 lb / 1,524 kg",4.92 ft / 1.50 m,FG,NA,1978,NA,NA,Cobramold Ltd. (UK),Frank Pryor,NA,NA,NA
Siren 17,Swing Keel,Fractional Sloop,17.17 ft / 5.23 m,15.00 ft / 4.57 m,139.00 ft² / 12.91 m²,6.67 ft / 2.03 m,750.00 lb / 340 kg,130.00 lb / 59 kg,4.25 ft / 1.30 m,FG,Iron,1974,1987,3200,Vandestadt & McGruer Ltd. (CAN),Hubert Vandestadt,0.67 ft / 0.20 m,NA,NA
Challenger 7.4,Fin w/spade rudder,Masthead Sloop,24.33 ft / 7.42 m,22.17 ft / 6.76 m,230.00 ft² / 21.37 m²,8.17 ft / 2.49 m,"4,000.00 lb / 1,814 kg","2,090.00 lb / 948 kg",3.42 ft / 1.04 m,FG,Iron,1974,1980,800,Challenger Yachts Ltd. (CAN),Alex McGruer,NA,NA,NA
Challenger 24,Fin w/spade rudder,Masthead Sloop,24.33 ft / 7.42 m,22.17 ft / 6.76 m,230.00 ft² / 21.37 m²,8.17 ft / 2.49 m,"4,000.00 lb / 1,814 kg","2,090.00 lb / 948 kg",3.42 ft / 1.04 m,FG,NA,1973,NA,NA,Challenger Yachts Ltd. (CAN),Alex McGruer,NA,NA,NA
Fales 32 Navigator,Long Keel,Cutter,31.67 ft / 9.65 m,29.12 ft / 8.88 m,439.00 ft² / 40.78 m²,11.17 ft / 3.40 m,"17,000.00 lb / 7,711 kg","6,000.00 lb / 2,722 kg",3.50 ft / 1.07 m,FG,NA,1974,NA,8,Fales Yachts (USA)/Pearson Yachts,William Crealock/Charles F. Street,NA,NA,NA
Aurora  21,Fin Keel w/bulb,Masthead Sloop,21.00 ft / 6.40 m,15.50 ft / 4.72 m,185.00 ft² / 17.19 m²,6.33 ft / 1.93 m,"1,700.00 lb / 771 kg",500.00 lb / 227 kg,3.00 ft / 0.91 m,FG,Iron,1959,1970,600,Henry McCune/Wesco Marine/Coronado Yachts,Ted Carpentier,NA,NA,NA
Wasa 34,Fin w/spade rudder,Fractional Sloop,34.10 ft / 10.39 m,26.13 ft / 7.96 m,540.00 ft² / 50.17 m²,10.82 ft / 3.30 m,"8,778.00 lb / 3,982 kg","3,612.00 lb / 1,638 kg",6.10 ft / 1.86 m,FG,NA,1985,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Wasa 360,Fin w/spade rudder,Fractional Sloop,36.39 ft / 11.09 m,29.67 ft / 9.04 m,589.00 ft² / 54.72 m²,10.62 ft / 3.24 m,"11,025.00 lb / 5,001 kg","4,620.00 lb / 2,096 kg",6.39 ft / 1.95 m,FG,NA,1979,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Wasa 270,Fin w/spade rudder,Fractional Sloop,27.21 ft / 8.29 m,23.61 ft / 7.20 m,342.00 ft² / 31.77 m²,8.36 ft / 2.55 m,"4,630.00 lb / 2,100 kg","2,205.00 lb / 1,000 kg",5.41 ft / 1.65 m,FG,NA,1982,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Wasa 410,Fin w/spade rudder,Masthead Sloop,41.64 ft / 12.69 m,33.57 ft / 10.23 m,817.00 ft² / 75.90 m²,11.80 ft / 3.60 m,"16,380.00 lb / 7,430 kg","6,930.00 lb / 3,143 kg",7.21 ft / 2.20 m,FG,NA,1980,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Wasa 40,Fin w/spade rudder,Masthead Sloop,40.33 ft / 12.29 m,30.98 ft / 9.44 m,765.00 ft² / 71.07 m²,12.62 ft / 3.85 m,"14,700.00 lb / 6,668 kg","6,300.00 lb / 2,858 kg",6.89 ft / 2.10 m,FG,NA,1984,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Wasa 370,Fin w/spade rudder,Fractional Sloop,36.82 ft / 11.22 m,29.67 ft / 9.04 m,589.00 ft² / 54.72 m²,10.62 ft / 3.24 m,"11,025.00 lb / 5,001 kg","4,630.00 lb / 2,100 kg",6.39 ft / 1.95 m,FG,NA,1986,NA,NA,Wasa Yachts (SWE),Leif Ängermark,NA,NA,NA
Heavenly Twins,Catamaran (no boards/asym.),Masthead Sloop,27.00 ft / 8.23 m,21.50 ft / 6.55 m,412.00 ft² / 38.28 m²,13.75 ft / 4.19 m,"5,600.00 lb / 2,540 kg",NA,2.25 ft / 0.69 m,FG,NA,1971,NA,NA,Heavenly Cruising Yachts Ltd. (UK),Pat Patterson,NA,NA,NA
Catalac 8m,Catamaran (no boards/asym.),Masthead Sloop,27.00 ft / 8.23 m,25.50 ft / 7.77 m,275.00 ft² / 25.55 m²,13.67 ft / 4.17 m,"6,283.00 lb / 2,850 kg",NA,2.00 ft / 0.61 m,FG,NA,1975,NA,212,Tom Lack Catamarans (UK),J. Winterbotham/T.M. Lack,NA,NA,NA
Quest 31 (Prout),Catamaran Twin Keel,Masthead Sloop,31.00 ft / 9.45 m,28.50 ft / 8.69 m,443.00 ft² / 41.16 m²,14.25 ft / 4.34 m,"7,000.00 lb / 3,175 kg",NA,2.58 ft / 0.79 m,FG,NA,1970,NA,NA,Prout Catamarans (UK),Prout,NA,NA,NA
Lagoon 37,Catamaran Twin Keel,Fractional Sloop,36.75 ft / 11.20 m,33.33 ft / 10.16 m,839.00 ft² / 77.95 m²,20.00 ft / 6.10 m,"11,833.00 lb / 5,367 kg",NA,4.00 ft / 1.22 m,FG,NA,1991,1998,41,Jeanneau (FRA)/TPI (USA),Van Peteghem/Lauriot-Prevost,NA,NA,NA
Privilege 39,Catamaran Twin Keel,Cutter,38.75 ft / 11.81 m,35.17 ft / 10.72 m,"1,057.00 ft² / 98.20 m²",21.00 ft / 6.40 m,"14,000.00 lb / 6,350 kg",NA,3.50 ft / 1.07 m,FG solid laminate below waterline,NA,1988,1994,95,Jeantot Marine (France),Eric LeFevre,NA,NA,NA
Lagoon 42,Catamaran Twin Keel,Fractional Sloop,42.50 ft / 12.95 m,38.75 ft / 11.81 m,"1,119.00 ft² / 103.96 m²",22.67 ft / 6.91 m,"16,550.00 lb / 7,507 kg",NA,4.42 ft / 1.35 m,FG,NA,1990,1994,51,Jeanneau (FRA)/TPI (USA),Van Peteghem/Lauriot-Prevost,NA,NA,NA
Catalac 10m,Catamaran (no boards/asym.),Masthead Sloop,33.67 ft / 10.26 m,27.00 ft / 8.23 m,616.00 ft² / 57.23 m²,15.25 ft / 4.65 m,"12,300.00 lb / 5,579 kg",NA,2.75 ft / 0.84 m,FG (solid),NA,1984,1988,45,Tom Lack Catamarans/Hythe Marine Services (UK),Tom Lack/J. Winterbotom,NA,NA,NA
Privilege 37,Catamaran Twin Keel,Masthead Sloop,37.00 ft / 11.28 m,34.00 ft / 10.36 m,861.00 ft² / 79.99 m²,21.42 ft / 6.53 m,"14,000.00 lb / 6,350 kg",NA,3.92 ft / 1.19 m,FG,NA,1995,2003,NA,Jeantot Marine (France),Marc Lombard,NA,NA,NA
Catana 44,Catamaran Twin Dbrd.,Fractional Sloop,44.00 ft / 13.41 m,43.00 ft / 13.11 m,"1,100.00 ft² / 102.19 m²",23.00 ft / 7.01 m,"16,720.00 lb / 7,584 kg",NA,7.18 ft / 2.19 m,FG,NA,1992,NA,NA,Catana Chantier (FRA),Lock Crowther / Christophe Barreau,2.58 ft / 0.79 m,NA,NA
Maldives 32,Catamaran Twin Keel,Frac. Sloop (Rotating Spar),32.00 ft / 9.75 m,31.00 ft / 9.45 m,592.00 ft² / 55.00 m²,17.42 ft / 5.31 m,"6,614.00 lb / 3,000 kg",NA,2.95 ft / 0.90 m,FG/Foam Sandwich,NA,1988,NA,NA,Fountaine Pajot (FRA),M. Joubert/B. Nivelt,NA,NA,NA
Snowgoose 37 (Prout),Catamaran Twin Keel,Cutter,37.00 ft / 11.28 m,33.00 ft / 10.06 m,570.00 ft² / 52.95 m²,15.03 ft / 4.58 m,"12,125.00 lb / 5,500 kg",NA,2.08 ft / 0.63 m,FG,NA,1983,NA,NA,Prout Ltd. (UK),Prout,NA,NA,NA
Snowgoose 35 (Prout),Catamaran (no boards/asym.),Cutter,35.17 ft / 10.72 m,30.00 ft / 9.14 m,578.00 ft² / 53.70 m²,15.00 ft / 4.57 m,"8,000.00 lb / 3,629 kg",NA,2.75 ft / 0.84 m,FG,NA,1970,NA,NA,G. Prout & Sons Ltd. (UK),Prout,NA,NA,NA
Quest 33 (Prout),Catamaran Twin Keel,Cutter,33.00 ft / 10.06 m,29.50 ft / 8.99 m,NA,14.33 ft / 4.37 m,"9,520.00 lb / 4,318 kg",NA,2.50 ft / 0.76 m,FG,NA,1971,NA,NA,Prout Ltd. (UK),Prout,NA,NA,NA
Telstar 8m,Trimaran Cbrd.,Fractional Sloop,26.25 ft / 8.00 m,24.00 ft / 7.32 m,370.00 ft² / 34.37 m²,16.00 ft / 4.88 m,"2,800.00 lb / 1,270 kg",NA,4.75 ft / 1.45 m,FG,NA,1970,1981,200,Sandwich Yacht (UK),Tony Smith,1.50 ft / 0.46 m,NA,NA
Buccaneer 33 (Crowther),Trimaran Dbrd.,Masthead Sloop,33.25 ft / 10.13 m,31.50 ft / 9.60 m,727.00 ft² / 67.54 m²,23.50 ft / 7.16 m,"6,000.00 lb / 2,722 kg",NA,6.00 ft / 1.83 m,FG or Plywood,NA,1973,NA,NA,various from plans,Lock Crowther,2.50 ft / 0.76 m,NA,NA
Buccaneer 36 (Crowther),Trimaran Dbrd.,Masthead Sloop,35.75 ft / 10.90 m,33.00 ft / 10.06 m,821.00 ft² / 76.27 m²,26.00 ft / 7.92 m,"7,100.00 lb / 3,221 kg",NA,NA,FG or Plywood,NA,1974,NA,NA,various from plans,Lock Crowther,2.25 ft / 0.69 m,NA,NA
Kraken 33,Trimaran Dbrd.,Masthead Sloop,33.00 ft / 10.06 m,30.00 ft / 9.14 m,492.00 ft² / 45.71 m²,23.00 ft / 7.01 m,"4,000.00 lb / 1,814 kg",NA,3.50 ft / 1.07 m,FG or Plywood,NA,1968,NA,NA,various,Lock Crowther/John Hitch,1.75 ft / 0.53 m,NA,NA
Tremolino,Trimaran Dbrd.,Fractional Sloop,22.83 ft / 6.96 m,21.00 ft / 6.40 m,218.00 ft² / 20.25 m²,16.50 ft / 5.03 m,950.00 lb / 431 kg,NA,4.33 ft / 1.32 m,FG,NA,1982,NA,NA,Tremolino Boat Co. (USA),Richard Newick,1.08 ft / 0.33 m,NA,NA
Buccaneer 28 (Crowther),Trimaran Dbrd.,Masthead Sloop,28.25 ft / 8.61 m,26.75 ft / 8.15 m,610.00 ft² / 56.67 m²,21.50 ft / 6.55 m,"4,000.00 lb / 1,814 kg",NA,4.75 ft / 1.45 m,Plywood,NA,1973,NA,NA,from plans,Lock Crowther,2.50 ft / 0.76 m,NA,NA
Polynesian Concept,Catamaran Twin Dbrd.,Masthead Sloop,37.00 ft / 11.28 m,30.50 ft / 9.30 m,805.00 ft² / 74.79 m²,17.00 ft / 5.18 m,"5,500.00 lb / 2,495 kg",NA,NA,FG,NA,1970,1972,12,W. D. Schock Corp./CSK(USA),CSK/Rudy Choy,1.58 ft / 0.48 m,NA,NA
Bowman 40 (Laurent Giles),Long Keel,Masthead Ketch,40.00 ft / 12.19 m,30.42 ft / 9.27 m,NA,11.08 ft / 3.38 m,"21,000.00 lb / 9,525 kg","10,000.00 lb / 4,536 kg",5.25 ft / 1.60 m,FG,NA,1974,NA,NA,Emsworth Marine (UK),Laurent Giles,NA,NA,NA
North Star 48,Fin with rudder on skeg,Masthead Yawl,48.17 ft / 14.68 m,33.00 ft / 10.06 m,"1,048.00 ft² / 97.36 m²",11.83 ft / 3.61 m,"30,000.00 lb / 13,608 kg","15,700.00 lb / 7,121 kg",6.50 ft / 1.98 m,FG,NA,1970,NA,NA,North Star Yachts Ltd. (CAN),Sparkman & Stephens,NA,NA,NA
Boothbay Challenger (Alden),Keel/Cbrd.,Masthead Ketch,58.58 ft / 17.86 m,41.00 ft / 12.50 m,"1,534.00 ft² / 142.51 m²",15.17 ft / 4.62 m,"53,300.00 lb / 24,176 kg","11,800.00 lb / 5,352 kg",12.25 ft / 3.73 m,FG,Lead,1968,1976,14,Hodgdon Bros. (USA),"John G. Alden & Assoc,",5.33 ft / 1.62 m,NA,NA
Catalac 12m,Catamaran (no boards/asym.),Masthead Sloop,40.83 ft / 12.44 m,35.00 ft / 10.67 m,700.00 ft² / 65.03 m²,17.50 ft / 5.33 m,"18,500.00 lb / 8,391 kg",NA,3.07 ft / 0.94 m,FG,NA,1983,NA,27,Tom Lack Catamarans (UK),Tom Lack,NA,NA,NA
Junker 22,Fin Keel,Masthead Sloop,21.33 ft / 6.50 m,18.04 ft / 5.50 m,209.00 ft² / 19.42 m²,6.50 ft / 1.98 m,"3,240.00 lb / 1,470 kg","1,433.00 lb / 650 kg",2.95 ft / 0.90 m,FG,Iron,1971,1978,518,Holstebro Plastværk A/S (DEN),Arne Borghegn,NA,NA,NA
